OrderItemID,OrderID,ProductID,Quantity,UnitPrice,DiscountAmount
OI0000059,O000021,P0022,1,408.83,0.0
OI0000060,O000021,P0014,4,814.25,162.85
OI0000061,O000021,P0027,5,84.36,0.0
OI0000062,O000022,P0028,5,449.38,0.0
OI0000063,O000022,P0022,5,385.24,0.0
OI0000064,O000022,P0007,5,818.94,204.74
OI0000065,O000022,P0021,4,654.54,0.0
OI0000066,O000023,P0029,4,712.81,285.12
OI0000067,O000023,P0026,2,341.26,0.0
OI0000068,O000023,P0018,1,755.82,0.0
OI0000069,O000023,P0008,1,467.67,0.0
OI0000070,O000024,P0014,4,903.85,0.0
OI0000071,O000024,P0015,5,814.29,0.0
OI0000072,O000024,P0030,5,878.21,0.0
OI0000073,O000025,P0027,1,87.8,0.0
OI0000074,O000025,P0027,5,91.95,22.99
OI0000075,O000025,P0028,2,424.47,42.45
OI0000076,O000026,P0015,3,910.36,0.0
OI0000077,O000026,P0019,4,721.51,144.3
OI0000078,O000026,P0002,3,696.5,104.48
OI0000079,O000026,P0013,2,489.81,0.0
OI0000080,O000027,P0028,4,401.63,80.33
OI0000081,O000028,P0003,4,363.95,0.0
OI0000082,O000028,P0011,5,550.77,0.0
OI0000083,O000029,P0021,4,665.42,0.0
OI0000084,O000029,P0020,1,232.9,0.0
OI0000085,O000029,P0008,1,465.68,0.0
OI0000086,O000030,P0002,3,701.81,0.0
OI0000087,O000031,P0019,2,714.15,0.0
OI0000088,O000031,P0020,4,247.28,0.0
OI0000089,O000031,P0016,5,184.37,46.09
OI0000090,O000031,P0021,3,625.45,0.0
OI0000091,O000032,P0012,5,340.65,85.16
OI0000092,O000032,P0023,3,85.42,0.0
OI0000093,O000032,P0007,4,882.22,0.0
OI0000094,O000032,P0008,4,475.66,190.26
OI0000095,O000033,P0009,1,774.98,0.0
OI0000096,O000033,P0030,5,910.18,0.0
OI0000097,O000033,P0025,2,221.01,0.0
OI0000098,O000033,P0008,2,479.21,0.0
OI0000099,O000034,P0002,5,657.27,0.0
OI0000100,O000034,P0003,3,339.55,50.93
OI0000101,O000034,P0006,2,641.97,128.39
OI0000102,O000034,P0029,3,760.49,0.0
OI0000103,O000035,P0024,3,351.6,52.74
OI0000104,O000035,P0003,2,362.49,0.0
OI0000105,O000035,P0028,4,458.75,183.5
OI0000106,O000036,P0015,3,884.29,0.0
OI0000107,O000037,P0016,1,198.67,19.87
OI0000108,O000037,P0011,5,511.98,0.0
OI0000109,O000038,P0005,1,1016.02,0.0
OI0000110,O000039,P0013,4,480.43,192.17
OI0000111,O000039,P0014,5,873.04,0.0
OI0000112,O000040,P0009,1,789.66,0.0
OI0000113,O000040,P0015,4,921.09,0.0
OI0000114,O000040,P0004,3,771.88,0.0
OI0000115,O000040,P0002,4,648.09,0.0
OI0000116,O000041,P0002,3,644.75,0.0
OI0000117,O000042,P0019,2,788.58,0.0
OI0000118,O000042,P0011,2,558.67,111.73
OI0000119,O000043,P0026,2,310.75,0.0
OI0000120,O000043,P0005,1,930.01,0.0
OI0000121,O000043,P0019,3,696.3,0.0
OI0000122,O000044,P0016,4,203.42,81.37
OI0000123,O000045,P0024,5,325.63,0.0
OI0000124,O000046,P0016,4,182.28,0.0
OI0000125,O000047,P0020,5,244.61,0.0
OI0000126,O000047,P0013,5,492.47,123.12
OI0000127,O000047,P0017,5,482.61,0.0
OI0000128,O000048,P0014,3,884.07,132.61
OI0000129,O000048,P0014,1,817.4,0.0
OI0000130,O000049,P0003,1,366.65,0.0
OI0000131,O000049,P0014,1,873.34,0.0
OI0000132,O000049,P0026,2,333.46,66.69
OI0000133,O000049,P0018,5,730.14,0.0
OI0000134,O000050,P0010,5,142.09,0.0
OI0000135,O000051,P0028,1,418.12,41.81
OI0000136,O000051,P0012,1,365.71,36.57
OI0000137,O000052,P0020,3,225.21,0.0
OI0000138,O000053,P0019,4,702.53,0.0
OI0000139,O000053,P0003,5,333.56,83.39
OI0000140,O000054,P0025,5,220.64,0.0
OI0000141,O000054,P0005,2,987.96,0.0
OI0000142,O000054,P0022,1,373.92,18.7
OI0000143,O000055,P0025,5,204.51,51.13
OI0000144,O000055,P0004,3,787.65,236.29
OI0000145,O000056,P0020,1,224.41,0.0
OI0000146,O000056,P0007,2,870.74,0.0
OI0000147,O000056,P0011,1,494.4,24.72
OI0000148,O000056,P0006,2,667.94,0.0
OI0000149,O000057,P0014,1,836.46,0.0
OI0000150,O000058,P0010,1,144.17,0.0
OI0000151,O000058,P0006,5,676.3,0.0
OI0000152,O000058,P0003,4,367.33,0.0
OI0000153,O000058,P0014,5,828.78,0.0
OI0000154,O000059,P0003,5,356.0,178.0
OI0000155,O000059,P0017,2,518.32,0.0
OI0000156,O000060,P0009,2,728.66,0.0
OI0000157,O000060,P0025,1,206.63,10.33
OI0000158,O000061,P0022,5,396.03,198.01
OI0000159,O000061,P0011,3,506.19,0.0
OI0000160,O000061,P0016,4,199.02,0.0
OI0000161,O000061,P0019,1,735.21,0.0
OI0000162,O000062,P0027,3,84.92,0.0
OI0000163,O000062,P0020,5,243.07,60.77
OI0000164,O000062,P0019,5,804.92,0.0
OI0000165,O000063,P0017,2,522.2,52.22
OI0000166,O000063,P0004,3,823.53,0.0
OI0000167,O000063,P0017,2,453.26,45.33
OI0000168,O000063,P0015,5,864.4,0.0
OI0000169,O000064,P0022,5,360.82,0.0
OI0000170,O000064,P0003,3,327.08,49.06
OI0000171,O000064,P0010,3,151.34,45.4
OI0000172,O000065,P0030,3,851.49,127.72
OI0000173,O000065,P0005,5,981.29,0.0
OI0000174,O000066,P0027,2,93.21,18.64
OI0000175,O000066,P0003,4,349.3,0.0
OI0000176,O000066,P0012,3,334.22,0.0
OI0000177,O000067,P0005,1,920.87,0.0
OI0000178,O000067,P0017,5,513.0,256.5
OI0000179,O000068,P0020,4,229.89,0.0
OI0000180,O000068,P0027,5,95.15,0.0
OI0000181,O000069,P0015,5,832.88,208.22
OI0000182,O000069,P0008,5,451.58,112.9
OI0000183,O000070,P0025,3,226.73,68.02
OI0000184,O000070,P0017,4,522.85,0.0
OI0000185,O000070,P0026,5,312.2,0.0
OI0000186,O000070,P0002,4,709.86,283.94
OI0000187,O000071,P0003,2,336.65,67.33
OI0000188,O000071,P0005,4,891.02,0.0
OI0000189,O000071,P0027,4,96.21,0.0
OI0000190,O000072,P0013,1,480.73,0.0
OI0000191,O000072,P0011,1,562.83,0.0
OI0000192,O000073,P0023,2,89.42,8.94
OI0000193,O000073,P0015,5,795.82,0.0
OI0000194,O000073,P0001,3,843.81,0.0
OI0000195,O000073,P0018,5,753.0,0.0
OI0000196,O000074,P0014,5,836.12,0.0
OI0000197,O000074,P0027,4,92.18,0.0
OI0000198,O000075,P0014,1,856.54,0.0
OI0000199,O000075,P0019,4,716.16,0.0
OI0000200,O000075,P0017,3,455.4,136.62
OI0000201,O000076,P0028,4,397.93,79.59
OI0000202,O000076,P0012,3,364.88,0.0
OI0000203,O000076,P0026,1,322.7,0.0
OI0000204,O000076,P0025,5,225.29,0.0
OI0000205,O000077,P0027,4,97.55,19.51
OI0000206,O000077,P0021,2,659.52,0.0
OI0000207,O000078,P0029,1,735.42,0.0
OI0000208,O000078,P0017,4,524.56,209.82
OI0000209,O000079,P0010,3,154.46,0.0
OI0000210,O000079,P0028,3,413.05,0.0
OI0000211,O000080,P0011,2,534.6,53.46
OI0000212,O000080,P0012,5,338.89,0.0
OI0000213,O000080,P0024,4,314.12,125.65
OI0000214,O000080,P0027,2,91.47,0.0
OI0000215,O000081,P0015,5,890.23,0.0
OI0000216,O000081,P0023,4,84.03,0.0
OI0000217,O000081,P0024,3,341.81,51.27
OI0000218,O000082,P0012,5,367.79,0.0
OI0000219,O000082,P0001,2,929.75,92.98
OI0000220,O000082,P0002,2,626.54,0.0
OI0000221,O000082,P0012,4,375.81,0.0
OI0000222,O000083,P0015,1,871.18,87.12
OI0000223,O000083,P0012,4,341.47,0.0
OI0000224,O000083,P0008,1,436.14,0.0
OI0000225,O000084,P0009,3,791.28,0.0
OI0000226,O000085,P0028,1,424.83,21.24
OI0000227,O000085,P0003,3,357.85,0.0
OI0000228,O000086,P0023,2,89.88,17.98
OI0000229,O000086,P0008,1,505.57,0.0
OI0000230,O000087,P0015,5,812.32,0.0
OI0000231,O000087,P0003,3,343.38,51.51
OI0000232,O000087,P0017,4,508.05,203.22
OI0000233,O000088,P0015,5,840.78,420.39
OI0000234,O000088,P0021,5,598.57,0.0
OI0000235,O000088,P0014,5,894.85,0.0
OI0000236,O000088,P0027,1,91.08,0.0
OI0000237,O000089,P0012,5,372.86,0.0
OI0000238,O000089,P0009,2,783.14,156.63
OI0000239,O000090,P0017,2,494.74,98.95
OI0000240,O000091,P0027,5,84.42,0.0
OI0000241,O000091,P0003,1,372.92,37.29
OI0000242,O000091,P0009,2,798.71,79.87
OI0000243,O000092,P0016,2,204.22,20.42
OI0000244,O000092,P0010,4,136.7,0.0
OI0000245,O000092,P0006,4,671.65,134.33
OI0000246,O000093,P0024,3,360.44,0.0
OI0000247,O000093,P0025,3,217.93,0.0
OI0000248,O000093,P0011,2,532.16,0.0
OI0000249,O000094,P0013,5,483.99,0.0
OI0000250,O000094,P0027,3,96.89,0.0
OI0000251,O000094,P0007,2,836.51,167.3
OI0000252,O000095,P0013,5,486.94,0.0
OI0000253,O000096,P0016,5,206.55,51.64
OI0000254,O000096,P0010,5,135.24,0.0
OI0000255,O000096,P0014,2,891.19,0.0
OI0000256,O000097,P0012,5,340.08,85.02
OI0000257,O000097,P0017,4,507.7,0.0
OI0000258,O000098,P0018,3,779.21,0.0
OI0000259,O000098,P0020,5,239.12,0.0
OI0000260,O000098,P0002,1,633.75,0.0
OI0000261,O000099,P0011,5,519.98,130.0
OI0000262,O000099,P0020,3,246.31,73.89
OI0000263,O000100,P0016,1,191.13,0.0
OI0000264,O000100,P0014,5,816.77,0.0
OI0000265,O000100,P0020,4,234.05,93.62
OI0000266,O000101,P0017,5,508.46,127.11
OI0000267,O000101,P0005,2,882.23,0.0
OI0000268,O000102,P0014,2,830.06,166.01
OI0000269,O000102,P0030,4,927.41,0.0
OI0000270,O000103,P0017,4,473.87,0.0
OI0000271,O000103,P0015,5,840.49,0.0
OI0000272,O000103,P0022,3,394.07,0.0
OI0000273,O000103,P0008,3,474.66,0.0
OI0000274,O000104,P0011,4,522.47,0.0
OI0000275,O000104,P0010,1,147.96,14.8
OI0000276,O000104,P0013,4,514.17,0.0
OI0000277,O000104,P0010,1,141.53,0.0
OI0000278,O000105,P0007,5,807.27,403.63
OI0000279,O000105,P0023,3,81.2,24.36
OI0000280,O000106,P0021,2,586.03,58.6
OI0000281,O000106,P0011,4,502.04,0.0
OI0000282,O000107,P0016,2,202.76,0.0
OI0000283,O000107,P0011,3,546.92,0.0
OI0000284,O000107,P0021,5,603.43,0.0
OI0000285,O000107,P0030,2,866.02,0.0
OI0000286,O000108,P0029,1,699.75,69.98
OI0000287,O000108,P0020,1,258.81,0.0
OI0000288,O000108,P0010,4,157.32,62.93
OI0000289,O000109,P0009,2,803.65,0.0
OI0000290,O000109,P0006,4,696.01,0.0
OI0000291,O000109,P0001,3,921.89,276.57
OI0000292,O000109,P0022,2,368.16,36.82
OI0000293,O000110,P0006,2,678.12,0.0
OI0000294,O000111,P0011,3,541.7,162.51
OI0000295,O000111,P0001,3,903.28,0.0
OI0000296,O000111,P0002,1,667.66,0.0
OI0000297,O000112,P0023,1,87.83,0.0
OI0000298,O000112,P0012,5,336.41,0.0
OI0000299,O000112,P0016,2,193.73,38.75
OI0000300,O000113,P0025,2,223.46,44.69
OI0000301,O000113,P0028,1,429.67,42.97
OI0000302,O000114,P0019,5,711.82,0.0
OI0000303,O000114,P0028,5,424.16,0.0
OI0000304,O000115,P0015,2,863.14,86.31
OI0000305,O000116,P0024,1,330.5,0.0
OI0000306,O000116,P0024,2,339.92,0.0
OI0000307,O000116,P0014,3,867.62,260.29
OI0000308,O000117,P0006,2,708.31,70.83
OI0000309,O000117,P0012,4,348.72,69.74
OI0000310,O000117,P0013,1,503.94,50.39
OI0000311,O000117,P0005,3,894.96,268.49
OI0000312,O000118,P0027,1,94.41,0.0
OI0000313,O000118,P0015,5,851.33,212.83
OI0000314,O000119,P0007,1,776.52,38.83
OI0000315,O000119,P0020,1,233.12,0.0
OI0000316,O000119,P0004,5,711.62,355.81
OI0000317,O000120,P0018,2,779.14,0.0
OI0000318,O000120,P0005,5,1022.92,0.0
OI0000319,O000121,P0008,3,497.69,149.31
OI0000320,O000121,P0008,4,456.02,0.0
OI0000321,O000121,P0018,5,793.6,0.0
OI0000322,O000122,P0021,4,657.04,0.0
OI0000323,O000122,P0023,4,84.78,0.0
OI0000324,O000122,P0013,2,509.35,50.94
OI0000325,O000123,P0026,4,351.69,140.68
OI0000326,O000123,P0014,4,849.09,0.0
OI0000327,O000124,P0030,4,923.94,0.0
OI0000328,O000125,P0022,5,393.64,0.0
OI0000329,O000125,P0007,5,865.61,432.81
OI0000330,O000125,P0007,4,799.26,0.0
OI0000331,O000125,P0010,1,139.82,0.0
OI0000332,O000126,P0013,2,494.09,0.0
OI0000333,O000126,P0013,4,492.7,0.0
OI0000334,O000127,P0015,1,901.51,45.08
OI0000335,O000127,P0025,3,231.28,0.0
OI0000336,O000127,P0011,4,497.53,0.0
OI0000337,O000127,P0024,2,310.88,62.18
OI0000338,O000128,P0013,5,515.3,128.83
OI0000339,O000128,P0018,3,721.8,108.27
OI0000340,O000129,P0006,2,703.55,70.36
OI0000341,O000129,P0006,5,731.81,0.0
OI0000342,O000129,P0017,1,513.3,0.0
OI0000343,O000130,P0003,2,322.5,64.5
OI0000344,O000130,P0015,3,803.13,240.94
OI0000345,O000131,P0001,1,886.41,0.0
OI0000346,O000131,P0018,3,694.1,104.12
OI0000347,O000131,P0026,2,310.61,0.0
OI0000348,O000131,P0017,2,468.41,93.68
OI0000349,O000132,P0003,3,373.5,56.03
OI0000350,O000132,P0019,2,809.09,0.0
OI0000351,O000132,P0010,1,149.77,0.0
OI0000352,O000132,P0003,4,342.37,136.95
OI0000353,O000133,P0016,4,199.43,0.0
OI0000354,O000134,P0007,5,833.58,0.0
OI0000355,O000134,P0030,1,901.99,0.0
OI0000356,O000135,P0001,2,894.23,89.42
OI0000357,O000135,P0030,1,850.01,85.0
OI0000358,O000135,P0008,5,494.68,123.67
OI0000359,O000136,P0026,1,330.63,0.0
OI0000360,O000136,P0002,1,664.73,0.0
OI0000361,O000137,P0025,3,201.69,0.0
OI0000362,O000137,P0026,4,330.12,0.0
OI0000363,O000137,P0018,4,741.93,296.77
OI0000364,O000137,P0022,4,362.8,145.12
OI0000365,O000138,P0013,2,508.23,0.0
OI0000366,O000138,P0012,1,329.42,0.0
OI0000367,O000139,P0006,4,675.13,270.05
OI0000368,O000140,P0018,1,760.98,0.0
OI0000369,O000140,P0028,4,395.88,79.18
OI0000370,O000140,P0013,1,507.12,50.71
OI0000371,O000141,P0006,2,656.29,0.0
OI0000372,O000141,P0016,2,181.97,18.2
OI0000373,O000141,P0009,4,743.56,0.0
OI0000374,O000141,P0012,3,375.53,56.33
OI0000375,O000142,P0013,3,515.92,77.39
OI0000376,O000143,P0010,3,148.63,0.0
OI0000377,O000143,P0016,3,185.4,27.81
OI0000378,O000144,P0011,4,516.83,103.37
OI0000379,O000144,P0012,1,374.87,0.0
OI0000380,O000145,P0023,2,85.18,0.0
OI0000381,O000145,P0027,1,95.29,4.76
OI0000382,O000145,P0022,4,365.99,0.0
OI0000383,O000145,P0008,3,481.94,72.29
OI0000384,O000146,P0019,4,756.33,151.27
OI0000385,O000146,P0018,1,783.33,0.0
OI0000386,O000146,P0023,5,87.24,0.0
OI0000387,O000146,P0004,2,785.22,0.0
OI0000388,O000147,P0025,3,233.0,34.95
OI0000389,O000147,P0004,1,719.29,0.0
OI0000390,O000147,P0017,5,492.2,246.1
OI0000391,O000147,P0008,4,461.35,92.27
OI0000392,O000148,P0004,3,756.72,0.0
OI0000393,O000148,P0004,2,748.74,0.0
OI0000394,O000148,P0015,2,864.18,0.0
OI0000395,O000148,P0016,1,193.22,9.66
OI0000396,O000149,P0001,3,902.5,0.0
OI0000397,O000150,P0018,4,802.68,0.0
OI0000398,O000150,P0026,4,337.19,0.0
OI0000399,O000150,P0021,4,619.25,247.7
OI0000400,O000151,P0023,2,82.1,0.0
OI0000401,O000152,P0015,1,829.89,41.49
OI0000402,O000152,P0017,3,495.13,148.54
OI0000403,O000153,P0020,2,254.52,0.0
OI0000404,O000153,P0030,5,889.27,0.0
OI0000405,O000153,P0011,1,513.4,0.0
OI0000406,O000153,P0006,3,700.73,210.22
OI0000407,O000154,P0014,2,839.94,167.99
OI0000408,O000154,P0023,2,86.72,8.67
OI0000409,O000154,P0010,2,139.27,13.93
OI0000410,O000154,P0020,1,256.46,0.0
OI0000411,O000155,P0014,4,830.74,166.15
OI0000412,O000155,P0016,2,182.55,0.0
OI0000413,O000155,P0026,2,320.02,0.0
OI0000414,O000155,P0008,5,455.16,113.79
OI0000415,O000156,P0019,1,725.48,72.55
OI0000416,O000157,P0018,2,806.29,0.0
OI0000417,O000157,P0024,2,325.42,0.0
OI0000418,O000157,P0015,3,841.32,0.0
OI0000419,O000157,P0015,1,897.91,0.0
OI0000420,O000158,P0006,5,642.71,0.0
OI0000421,O000158,P0027,2,95.1,19.02
OI0000422,O000158,P0012,5,339.67,169.84
OI0000423,O000158,P0006,3,730.63,0.0
OI0000424,O000159,P0005,4,1011.99,0.0
OI0000425,O000160,P0027,2,94.48,9.45
OI0000426,O000160,P0016,2,197.4,0.0
OI0000427,O000160,P0021,4,617.28,0.0
OI0000428,O000161,P0015,4,838.5,0.0
OI0000429,O000161,P0028,1,443.19,22.16
OI0000430,O000161,P0021,3,663.26,198.98
OI0000431,O000162,P0009,3,805.95,0.0
OI0000432,O000162,P0018,5,707.18,176.79
OI0000433,O000162,P0026,3,350.64,0.0
OI0000434,O000162,P0002,1,684.26,34.21
OI0000435,O000163,P0014,2,905.85,0.0
OI0000436,O000164,P0009,1,752.07,0.0
OI0000437,O000164,P0002,4,684.2,0.0
OI0000438,O000164,P0014,1,868.05,0.0
OI0000439,O000165,P0017,4,451.02,0.0
OI0000440,O000165,P0027,1,97.65,4.88
OI0000441,O000166,P0024,1,315.37,0.0
OI0000442,O000167,P0021,2,587.57,117.51
OI0000443,O000167,P0001,5,902.78,225.69
OI0000444,O000168,P0030,4,892.76,178.55
OI0000445,O000168,P0028,2,400.77,0.0
OI0000446,O000169,P0012,4,341.48,0.0
OI0000447,O000169,P0008,3,480.92,0.0
OI0000448,O000169,P0018,5,761.33,380.67
OI0000449,O000169,P0010,1,154.14,0.0
OI0000450,O000170,P0010,1,152.7,0.0
OI0000451,O000170,P0016,4,183.46,36.69
OI0000452,O000170,P0021,5,587.83,0.0
OI0000453,O000170,P0012,3,331.61,99.48
OI0000454,O000171,P0025,1,201.26,0.0
OI0000455,O000171,P0001,3,843.82,0.0
OI0000456,O000171,P0026,4,330.93,132.37
OI0000457,O000171,P0025,4,214.87,42.97
OI0000458,O000172,P0009,1,744.76,74.48
OI0000459,O000172,P0030,2,941.1,0.0
OI0000460,O000173,P0010,4,151.48,0.0
OI0000461,O000174,P0015,5,875.81,0.0
OI0000462,O000175,P0006,4,727.91,291.16
OI0000463,O000176,P0024,3,347.91,0.0
OI0000464,O000176,P0025,1,211.91,10.6
OI0000465,O000177,P0016,4,195.4,0.0
OI0000466,O000178,P0025,1,230.61,0.0
OI0000467,O000178,P0008,5,434.45,0.0
OI0000468,O000178,P0008,1,468.41,23.42
OI0000469,O000179,P0008,3,452.24,0.0
OI0000470,O000179,P0009,1,775.64,0.0
OI0000471,O000179,P0017,1,463.78,46.38
OI0000472,O000179,P0002,4,626.71,125.34
OI0000473,O000180,P0001,3,841.78,252.53
OI0000474,O000180,P0026,3,342.78,0.0
OI0000475,O000180,P0015,3,873.53,131.03
OI0000476,O000180,P0025,2,225.2,45.04
OI0000477,O000181,P0008,5,459.34,0.0
OI0000478,O000182,P0004,2,770.15,0.0
OI0000479,O000182,P0014,4,901.39,0.0
OI0000480,O000182,P0023,3,80.61,0.0
OI0000481,O000183,P0019,1,752.98,37.65
OI0000482,O000184,P0008,3,453.16,0.0
OI0000483,O000184,P0030,4,904.19,0.0
OI0000484,O000185,P0005,5,893.55,0.0
OI0000485,O000185,P0006,4,676.93,135.39
OI0000486,O000186,P0015,3,856.53,0.0
OI0000487,O000186,P0003,2,365.35,0.0
OI0000488,O000187,P0012,4,352.23,0.0
OI0000489,O000187,P0009,2,711.85,71.19
OI0000490,O000188,P0004,2,721.99,0.0
OI0000491,O000188,P0027,2,85.67,8.57
OI0000492,O000188,P0012,1,355.96,0.0
OI0000493,O000188,P0030,1,812.57,0.0
OI0000494,O000189,P0029,3,712.94,106.94
OI0000495,O000190,P0016,1,191.56,9.58
OI0000496,O000190,P0006,3,650.62,0.0
OI0000497,O000190,P0009,3,760.83,0.0
OI0000498,O000190,P0002,5,683.54,0.0
OI0000499,O000191,P0002,1,648.49,0.0
OI0000500,O000191,P0014,2,860.14,172.03
OI0000501,O000191,P0008,5,491.8,122.95
OI0000502,O000191,P0026,3,329.56,49.43
OI0000503,O000192,P0006,1,661.52,0.0
OI0000504,O000192,P0001,3,822.49,123.37
OI0000505,O000192,P0017,3,507.88,0.0
OI0000506,O000193,P0018,1,780.25,0.0
OI0000507,O000193,P0019,4,735.54,0.0
OI0000508,O000193,P0006,2,690.17,0.0
OI0000509,O000194,P0019,2,791.32,79.13
OI0000510,O000194,P0018,3,712.37,0.0
OI0000511,O000195,P0017,4,450.38,180.15
OI0000512,O000196,P0002,1,634.85,0.0
OI0000513,O000196,P0025,1,229.01,0.0
OI0000514,O000196,P0003,3,359.82,53.97
OI0000515,O000197,P0024,4,350.96,70.19
OI0000516,O000197,P0021,3,597.82,179.35
OI0000517,O000198,P0010,3,137.92,0.0
OI0000518,O000198,P0023,5,84.56,42.28
OI0000519,O000198,P0002,2,681.8,136.36
OI0000520,O000198,P0008,5,441.8,110.45
OI0000521,O000199,P0006,1,714.16,0.0
OI0000522,O000199,P0015,1,830.27,0.0
OI0000523,O000199,P0023,1,84.02,0.0
OI0000524,O000200,P0006,4,679.76,135.95
OI0000525,O000200,P0012,5,344.77,86.19
OI0000526,O000200,P0026,5,338.27,0.0
OI0000527,O000200,P0006,4,635.85,0.0
OI0000528,O000201,P0003,3,331.14,49.67
OI0000529,O000202,P0011,5,574.85,143.71
OI0000530,O000203,P0006,1,638.74,0.0
OI0000531,O000203,P0007,4,862.12,344.85
OI0000532,O000203,P0009,3,743.29,0.0
OI0000533,O000203,P0002,4,678.64,135.73
OI0000534,O000204,P0010,5,145.87,0.0
OI0000535,O000205,P0016,1,189.33,9.47
OI0000536,O000206,P0006,3,720.84,0.0
OI0000537,O000206,P0006,4,632.81,126.56
OI0000538,O000206,P0015,3,825.1,0.0
OI0000539,O000206,P0019,1,711.97,0.0
OI0000540,O000207,P0025,5,208.31,0.0
OI0000541,O000207,P0027,4,95.28,19.06
OI0000542,O000207,P0018,4,758.18,0.0
OI0000543,O000207,P0016,3,182.44,0.0
OI0000544,O000208,P0004,4,728.05,0.0
OI0000545,O000208,P0007,2,788.61,78.86
OI0000546,O000209,P0027,5,87.45,0.0
OI0000547,O000209,P0003,4,351.87,140.75
OI0000548,O000210,P0026,5,335.05,83.76
OI0000549,O000211,P0030,1,885.56,0.0
OI0000550,O000212,P0013,4,495.59,99.12
OI0000551,O000212,P0002,2,648.04,0.0
OI0000552,O000212,P0020,5,249.56,62.39
OI0000553,O000213,P0024,4,357.62,0.0
OI0000554,O000214,P0028,1,459.1,0.0
OI0000555,O000214,P0005,3,1020.11,153.02
OI0000556,O000214,P0025,3,209.71,31.46
OI0000557,O000214,P0020,1,231.15,0.0
OI0000558,O000215,P0027,1,91.04,0.0
OI0000559,O000215,P0003,3,360.09,54.01
OI0000560,O000215,P0005,5,1006.23,0.0
OI0000561,O000216,P0002,4,624.82,0.0
OI0000562,O000216,P0023,2,83.0,8.3
OI0000563,O000217,P0012,4,356.59,0.0
OI0000564,O000217,P0028,4,433.71,0.0
OI0000565,O000218,P0010,1,143.76,0.0
OI0000566,O000219,P0022,2,373.74,37.37
OI0000567,O000219,P0017,1,515.22,0.0
OI0000568,O000220,P0008,3,478.3,0.0
OI0000569,O000221,P0009,2,763.27,152.65
OI0000570,O000221,P0027,5,89.39,0.0
OI0000571,O000221,P0001,5,950.21,0.0
OI0000572,O000221,P0018,5,762.37,0.0
OI0000573,O000222,P0021,3,664.36,0.0
OI0000574,O000222,P0021,3,599.19,179.76
OI0000575,O000222,P0025,2,230.79,46.16
OI0000576,O000223,P0021,4,677.53,0.0
OI0000577,O000224,P0011,2,550.25,55.03
OI0000578,O000224,P0030,3,878.09,0.0
OI0000579,O000225,P0024,3,347.51,104.25
OI0000580,O000225,P0025,2,232.37,0.0
