OrderID,CustomerID,StoreID,OrderDate,OrderStatus
O000051,C0028,S002,2026-06-04,Completed
O000052,C0055,S005,2025-08-20,Returned
O000053,C0044,S003,2025-11-13,Completed
O000054,C0044,S002,2026-04-10,Completed
O000055,C0078,S004,2026-05-13,Completed
O000056,C0068,S003,2026-05-14,Completed
O000057,C0072,S003,2026-05-28,Completed
O000058,C0074,S004,2025-11-17,Completed
O000059,C0040,S003,2026-02-10,Completed
O000060,C0094,S002,2025-12-26,Completed
O000061,C0097,S005,2026-04-21,Completed
O000062,C0060,S004,2025-11-14,Completed
O000063,C0074,S002,2026-04-06,Completed
O000064,C0048,S003,2026-01-08,Completed
O000065,C0043,S001,2025-06-03,Completed
O000066,C0072,S004,2025-11-14,Completed
O000067,C0099,S004,2025-12-16,Completed
O000068,C0085,S003,2025-02-08,Completed
O000069,C0006,S004,2026-03-25,Completed
O000070,C0048,S005,2025-07-18,Returned
O000071,C0092,S005,2025-04-16,Completed
O000072,C0007,S004,2026-03-01,Completed
O000073,C0018,S001,2025-05-30,Completed
O000074,C0031,S003,2025-10-23,Completed
O000075,C0074,S002,2026-06-12,Completed
O000076,C0065,S005,2026-07-12,Completed
O000077,C0006,S003,2025-05-17,Completed
O000078,C0005,S003,2026-04-14,Completed
O000079,C0033,S001,2026-04-30,Completed
O000080,C0052,S004,2026-03-24,Completed
O000081,C0011,S003,2025-04-16,Completed
O000082,C0082,S001,2025-10-09,Completed
O000083,C0087,S004,2025-06-07,Completed
O000084,C0067,S004,2026-05-27,Completed
O000085,C0089,S004,2025-10-20,Completed
O000086,C0070,S003,2026-07-18,Completed
O000087,C0064,S001,2025-08-31,Completed
O000088,C0017,S003,2025-03-17,Completed
O000089,C0021,S003,2025-06-18,Completed
O000090,C0017,S003,2025-10-09,Completed
O000091,C0022,S005,2025-06-07,Completed
O000092,C0064,S005,2025-02-01,Completed
O000093,C0044,S005,2025-07-28,Completed
O000094,C0032,S002,2026-04-06,Completed
O000095,C0064,S003,2026-04-24,Completed
O000096,C0075,S003,2025-08-09,Completed
O000097,C0047,S001,2026-02-17,Completed
O000098,C0017,S001,2025-05-02,Completed
O000099,C0067,S004,2026-05-01,Completed
O000100,C0069,S004,2026-06-06,Completed
O000101,C0093,S001,2025-08-22,Completed
O000102,C0003,S004,2025-07-15,Completed
O000103,C0067,S002,2025-05-22,Completed
O000104,C0099,S003,2025-11-01,Completed
O000105,C0057,S003,2025-12-21,Completed
O000106,C0032,S001,2025-09-03,Completed
O000107,C0071,S002,2025-01-06,Completed
O000108,C0051,S004,2025-02-07,Completed
O000109,C0064,S002,2026-06-21,Completed
O000110,C0066,S003,2026-03-14,Completed
O000111,C0034,S004,2025-01-07,Completed
O000112,C0088,S005,2026-02-20,Completed
O000113,C0054,S005,2026-01-18,Completed
O000114,C0010,S005,2026-01-06,Completed
O000115,C0012,S005,2026-05-16,Completed
O000116,C0008,S005,2026-08-01,Completed
O000117,C0009,S004,2025-03-03,Completed
O000118,C0068,S002,2026-02-07,Completed
O000119,C0032,S004,2025-08-24,Completed
O000120,C0032,S001,2025-02-19,Completed
O000121,C0041,S005,2026-08-13,Completed
O000122,C0072,S004,2026-03-14,Completed
O000123,C0029,S003,2025-09-04,Completed
O000124,C0032,S003,2026-02-02,Completed
O000125,C0093,S002,2026-07-03,Completed
O000126,C0096,S004,2025-05-01,Completed
O000127,C0034,S003,2025-11-12,Completed
O000128,C0038,S002,2026-03-04,Completed
O000129,C0059,S002,2026-05-18,Completed
O000130,C0098,S001,2025-02-19,Completed
O000131,C0085,S004,2026-05-10,Completed
O000132,C0033,S003,2026-06-24,Completed
O000133,C0008,S001,2026-05-03,Completed
O000134,C0013,S005,2026-08-03,Completed
O000135,C0073,S001,2026-07-11,Completed
O000136,C0043,S004,2026-07-08,Completed
O000137,C0078,S005,2025-12-15,Returned
O000138,C0032,S001,2025-10-30,Completed
O000139,C0047,S003,2026-04-01,Completed
O000140,C0053,S001,2026-06-09,Completed
O000141,C0074,S005,2025-09-06,Completed
O000142,C0059,S001,2025-07-20,Completed
O000143,C0057,S003,2025-12-04,Completed
O000144,C0038,S004,2025-11-23,Returned
O000145,C0024,S005,2026-07-13,Completed
O000146,C0010,S004,2026-01-22,Returned
O000147,C0083,S005,2025-06-20,Completed
O000148,C0020,S003,2026-05-28,Returned
O000149,C0009,S003,2025-11-23,Completed
O000150,C0067,S002,2025-09-07,Completed
O000151,C0058,S005,2025-07-22,Completed
O000152,C0069,S002,2025-04-15,Completed
O000153,C0076,S001,2026-02-06,Completed
O000154,C0054,S005,2026-02-02,Completed
O000155,C0018,S002,2026-05-12,Completed
O000156,C0096,S004,2026-08-03,Completed
O000157,C0070,S001,2026-01-11,Completed
O000158,C0095,S005,2025-08-03,Completed
O000159,C0074,S003,2025-10-24,Returned
O000160,C0090,S002,2025-05-10,Completed
O000161,C0052,S005,2025-04-06,Completed
O000162,C0028,S004,2026-02-12,Completed
O000163,C0016,S002,2025-01-17,Completed
O000164,C0021,S003,2025-11-06,Completed
O000165,C0062,S001,2025-08-07,Completed
O000166,C0062,S001,2025-05-16,Completed
O000167,C0018,S004,2025-11-03,Completed
O000168,C0093,S002,2025-12-26,Completed
O000169,C0097,S001,2025-05-24,Completed
O000170,C0067,S005,2025-07-30,Completed
O000171,C0047,S005,2026-03-07,Completed
O000172,C0082,S005,2025-03-26,Completed
O000173,C0042,S004,2026-07-04,Completed
O000174,C0032,S001,2025-03-01,Completed
O000175,C0016,S001,2025-06-29,Completed
O000176,C0093,S003,2026-06-14,Completed
O000177,C0068,S001,2025-10-06,Completed
O000178,C0073,S002,2026-05-27,Completed
O000179,C0023,S001,2025-06-03,Completed
O000180,C0100,S003,2025-10-17,Completed
O000181,C0020,S001,2025-09-09,Completed
O000182,C0001,S004,2025-12-10,Completed
O000183,C0053,S003,2026-06-17,Completed
O000184,C0076,S005,2025-03-18,Completed
O000185,C0058,S003,2025-11-22,Completed
O000186,C0069,S003,2025-05-04,Returned
O000187,C0028,S003,2025-02-11,Completed
O000188,C0072,S005,2026-04-09,Completed
O000189,C0083,S004,2025-07-22,Completed
O000190,C0022,S005,2025-02-21,Completed
O000191,C0064,S004,2025-10-30,Completed
O000192,C0073,S005,2025-12-19,Completed
O000193,C0013,S002,2025-06-13,Completed
O000194,C0091,S003,2025-01-29,Completed
O000195,C0008,S002,2025-04-03,Completed
O000196,C0017,S003,2025-07-26,Completed
O000197,C0044,S003,2025-04-14,Completed
O000198,C0029,S005,2026-01-01,Completed
O000199,C0043,S001,2025-05-25,Completed
O000200,C0007,S004,2025-01-02,Completed
O000201,C0003,S003,2025-10-29,Completed
O000202,C0094,S001,2025-06-14,Completed
O000203,C0056,S002,2025-02-01,Completed
O000204,C0007,S003,2025-06-07,Completed
O000205,C0027,S002,2025-01-27,Completed
O000206,C0063,S003,2026-04-28,Completed
O000207,C0086,S003,2025-03-29,Completed
O000208,C0074,S005,2026-05-30,Completed
O000209,C0088,S004,2025-03-22,Completed
O000210,C0036,S005,2025-11-30,Completed
O000211,C0054,S002,2025-04-26,Completed
O000212,C0069,S003,2025-10-20,Completed
O000213,C0051,S003,2025-02-09,Completed
O000214,C0044,S003,2025-01-21,Completed
O000215,C0095,S004,2026-02-21,Completed
O000216,C0025,S002,2025-06-27,Completed
O000217,C0051,S001,2026-06-02,Completed
O000218,C0021,S003,2025-12-19,Completed
O000219,C0100,S002,2026-08-09,Completed
O000220,C0017,S002,2026-05-01,Completed
O000221,C0055,S004,2025-10-09,Completed
O000222,C0062,S001,2025-04-21,Completed
O000223,C0085,S003,2026-02-18,Completed
O000224,C0052,S004,2026-03-05,Completed
O000225,C0024,S003,2026-07-26,Completed
O000226,C0029,S003,2025-04-02,Completed
O000227,C0061,S002,2025-03-14,Completed
O000228,C0082,S001,2025-11-17,Completed
O000229,C0001,S001,2026-01-28,Completed
O000230,C0065,S005,2026-01-28,Completed
O000231,C0094,S005,2026-04-12,Completed
O000232,C0094,S001,2025-08-05,Completed
O000233,C0077,S001,2025-02-19,Completed
O000234,C0071,S003,2025-05-07,Completed
O000235,C0054,S001,2025-05-21,Completed
O000236,C0078,S002,2025-07-23,Completed
O000237,C0031,S001,2025-12-05,Completed
O000238,C0012,S005,2025-06-02,Completed
O000239,C0034,S004,2025-10-31,Completed
O000240,C0098,S001,2025-04-08,Completed
O000241,C0044,S002,2026-01-17,Completed
O000242,C0073,S004,2026-05-10,Completed
O000243,C0029,S003,2026-08-02,Completed
O000244,C0072,S005,2025-06-02,Completed
O000245,C0007,S005,2025-10-12,Completed
O000246,C0072,S005,2025-02-06,Completed
O000247,C0072,S002,2026-06-05,Completed
O000248,C0044,S003,2025-01-03,Completed
O000249,C0051,S002,2025-05-04,Completed
O000250,C0085,S005,2026-04-14,Returned
O000251,C0100,S002,2026-06-05,Completed
O000252,C0078,S002,2026-03-05,Completed
O000253,C0026,S002,2025-08-11,Completed
O000254,C0075,S005,2026-05-07,Completed
O000255,C0088,S003,2025-10-21,Completed
O000256,C0046,S004,2025-02-03,Completed
O000257,C0050,S004,2026-01-26,Returned
O000258,C0095,S005,2026-07-14,Completed
O000259,C0006,S004,2026-01-22,Completed
O000260,C0100,S005,2025-02-22,Completed
O000261,C0070,S005,2026-03-02,Completed
O000262,C0086,S003,2025-04-28,Completed
O000263,C0067,S003,2025-01-26,Completed
O000264,C0027,S005,2025-04-17,Completed
O000265,C0053,S004,2025-09-22,Completed
O000266,C0037,S004,2025-03-30,Completed
O000267,C0070,S003,2026-02-05,Returned
O000268,C0074,S005,2025-01-06,Completed
O000269,C0053,S005,2025-08-05,Completed
O000270,C0097,S005,2025-02-25,Completed
O000271,C0043,S003,2026-05-14,Completed
O000272,C0089,S005,2025-11-10,Completed
O000273,C0087,S003,2025-05-18,Completed
O000274,C0003,S005,2025-03-19,Completed
O000275,C0060,S005,2025-05-18,Completed
O000276,C0006,S002,2026-01-03,Completed
O000277,C0061,S004,2026-02-02,Completed
O000278,C0095,S003,2025-10-08,Completed
O000279,C0052,S003,2026-06-13,Completed
O000280,C0024,S002,2025-06-03,Completed
O000281,C0062,S004,2025-04-27,Completed
O000282,C0006,S005,2026-06-09,Completed
O000283,C0028,S004,2025-03-29,Completed
O000284,C0049,S004,2025-08-24,Completed
O000285,C0020,S005,2026-03-06,Completed
O000286,C0090,S005,2025-02-14,Completed
O000287,C0025,S001,2025-09-21,Completed
O000288,C0084,S002,2026-01-20,Completed
O000289,C0097,S002,2026-02-11,Completed
O000290,C0028,S005,2025-04-13,Completed
O000291,C0012,S001,2026-03-22,Completed
O000292,C0057,S001,2026-05-22,Completed
O000293,C0036,S004,2025-03-30,Completed
O000294,C0052,S005,2026-04-11,Completed
O000295,C0033,S005,2026-06-10,Completed
O000296,C0015,S003,2026-05-09,Completed
O000297,C0037,S001,2025-09-12,Completed
O000298,C0095,S002,2026-05-26,Completed
O000299,C0100,S001,2025-06-09,Completed
O000300,C0062,S003,2025-02-13,Completed
O000301,C0065,S003,2025-02-03,Completed
O000302,C0075,S001,2026-01-24,Completed
O000303,C0052,S003,2026-01-09,Completed
O000304,C0019,S002,2025-07-20,Completed
O000305,C0093,S003,2026-07-01,Completed
O000306,C0096,S003,2026-04-06,Completed
O000307,C0023,S003,2026-07-06,Completed
O000308,C0021,S003,2025-03-23,Completed
O000309,C0053,S002,2026-04-07,Completed
O000310,C0022,S004,2025-08-04,Completed
O000311,C0068,S001,2026-02-11,Completed
O000312,C0068,S002,2025-05-15,Completed
O000313,C0076,S005,2025-07-01,Completed
O000314,C0045,S003,2025-05-20,Completed
O000315,C0002,S004,2025-11-03,Completed
O000316,C0092,S004,2025-06-17,Completed
O000317,C0084,S005,2025-10-19,Completed
O000318,C0024,S001,2025-01-23,Completed
O000319,C0054,S003,2025-12-17,Completed
O000320,C0002,S001,2026-01-26,Returned
O000321,C0086,S002,2026-06-18,Completed
O000322,C0015,S002,2025-08-12,Completed
O000323,C0048,S001,2025-06-08,Completed
O000324,C0094,S002,2026-03-26,Completed
O000325,C0077,S005,2025-10-09,Completed
O000326,C0094,S002,2026-01-24,Completed
O000327,C0042,S004,2025-10-17,Completed
O000328,C0023,S001,2025-05-13,Completed
O000329,C0011,S004,2026-05-19,Completed
O000330,C0091,S001,2026-01-13,Completed
O000331,C0068,S002,2025-07-17,Completed
O000332,C0014,S002,2026-03-14,Completed
O000333,C0073,S005,2025-09-04,Completed
O000334,C0039,S002,2025-01-07,Completed
O000335,C0034,S003,2025-05-22,Completed
O000336,C0093,S003,2025-03-21,Completed
O000337,C0011,S001,2026-01-26,Completed
O000338,C0040,S005,2025-02-25,Completed
O000339,C0065,S001,2026-08-13,Completed
O000340,C0056,S002,2026-05-29,Completed
O000341,C0047,S003,2026-03-10,Completed
O000342,C0088,S003,2025-07-24,Completed
O000343,C0037,S001,2025-06-01,Completed
O000344,C0095,S005,2025-08-03,Completed
O000345,C0090,S005,2025-07-25,Completed
O000346,C0012,S002,2026-06-29,Completed
O000347,C0008,S003,2025-10-10,Completed
O000348,C0085,S002,2026-02-07,Completed
O000349,C0088,S002,2026-07-09,Completed
O000350,C0093,S001,2026-06-30,Completed
O000351,C0100,S002,2025-06-05,Completed
O000352,C0088,S001,2025-08-25,Completed
O000353,C0053,S002,2025-10-04,Completed
O000354,C0032,S004,2026-04-14,Completed
O000355,C0077,S005,2026-08-09,Completed
O000356,C0067,S005,2025-09-09,Completed
O000357,C0038,S004,2025-07-14,Completed
O000358,C0093,S005,2025-04-03,Completed
O000359,C0012,S003,2026-04-11,Completed
O000360,C0079,S002,2026-06-08,Completed
O000361,C0017,S002,2025-05-01,Completed
O000362,C0053,S004,2026-04-10,Completed
O000363,C0007,S002,2025-08-01,Completed
O000364,C0087,S003,2025-06-15,Completed
O000365,C0098,S004,2025-03-11,Completed
O000366,C0068,S004,2025-12-04,Completed
O000367,C0055,S005,2025-10-22,Completed
O000368,C0091,S003,2025-08-27,Returned
O000369,C0079,S004,2025-08-01,Completed
O000370,C0042,S001,2026-07-18,Completed
O000371,C0062,S002,2025-05-20,Completed
O000372,C0046,S001,2025-12-06,Returned
O000373,C0091,S003,2025-11-12,Completed
O000374,C0005,S002,2026-01-19,Completed
O000375,C0027,S001,2025-05-16,Completed
O000376,C0043,S004,2025-03-31,Completed
O000377,C0042,S002,2025-08-03,Completed
O000378,C0070,S003,2025-07-31,Completed
O000379,C0087,S001,2026-04-28,Completed
O000380,C0079,S003,2026-04-02,Completed
O000381,C0059,S003,2025-04-10,Completed
O000382,C0061,S001,2025-03-08,Completed
O000383,C0031,S005,2026-02-28,Completed
O000384,C0044,S005,2026-08-04,Completed
O000385,C0042,S005,2026-04-20,Completed
O000386,C0097,S002,2025-01-01,Completed
O000387,C0075,S001,2025-04-02,Completed
O000388,C0090,S005,2026-03-19,Completed
O000389,C0020,S003,2026-03-04,Returned
O000390,C0018,S004,2025-03-28,Completed
O000391,C0070,S005,2026-02-25,Completed
O000392,C0089,S001,2026-05-09,Completed
O000393,C0044,S005,2025-02-24,Completed
O000394,C0008,S004,2025-09-24,Completed
O000395,C0037,S004,2025-01-28,Completed
O000396,C0036,S003,2025-10-15,Completed
O000397,C0048,S002,2026-04-03,Completed
O000398,C0064,S004,2025-06-07,Completed
O000399,C0083,S003,2025-02-25,Completed
O000400,C0061,S005,2025-11-05,Completed
O000401,C0043,S003,2025-10-07,Completed
O000402,C0067,S003,2025-07-19,Completed
O000403,C0014,S004,2026-06-22,Completed
O000404,C0078,S002,2025-03-30,Completed
O000405,C0036,S004,2026-04-10,Completed
O000406,C0057,S001,2025-07-02,Completed
O000407,C0079,S001,2025-08-12,Completed
O000408,C0086,S004,2025-02-08,Completed
O000409,C0089,S004,2026-01-29,Completed
O000410,C0023,S005,2025-07-27,Completed
O000411,C0093,S005,2025-01-26,Completed
O000412,C0087,S005,2026-04-15,Completed
O000413,C0032,S002,2025-02-16,Completed
O000414,C0079,S002,2026-04-13,Completed
O000415,C0009,S002,2025-08-14,Completed
O000416,C0090,S003,2025-06-22,Completed
O000417,C0054,S004,2025-10-18,Completed
O000418,C0092,S004,2025-07-04,Completed
O000419,C0031,S002,2026-07-26,Completed
O000420,C0029,S004,2026-06-04,Completed
O000421,C0007,S003,2025-02-14,Completed
O000422,C0076,S005,2026-04-01,Completed
O000423,C0049,S002,2025-07-24,Completed
O000424,C0036,S002,2025-03-03,Completed
O000425,C0028,S005,2026-05-16,Completed
O000426,C0061,S005,2025-02-11,Completed
O000427,C0091,S004,2025-06-15,Completed
O000428,C0048,S004,2025-07-09,Completed
O000429,C0005,S003,2026-06-28,Completed
O000430,C0015,S004,2025-02-22,Completed
O000431,C0072,S002,2025-03-10,Completed
O000432,C0088,S004,2026-05-31,Completed
O000433,C0016,S004,2026-06-24,Completed
O000434,C0022,S003,2025-04-22,Completed
O000435,C0061,S003,2025-05-16,Completed
O000436,C0083,S003,2026-06-17,Completed
O000437,C0034,S002,2025-06-25,Completed
O000438,C0021,S002,2025-06-07,Completed
O000439,C0058,S005,2026-01-17,Returned
O000440,C0043,S003,2026-06-04,Completed
O000441,C0015,S003,2026-07-19,Completed
O000442,C0026,S001,2025-10-12,Completed
O000443,C0050,S003,2026-01-14,Completed
O000444,C0094,S004,2025-06-17,Completed
O000445,C0054,S002,2025-10-07,Completed
O000446,C0064,S005,2025-11-08,Completed
O000447,C0023,S004,2026-03-04,Completed
O000448,C0073,S004,2026-05-08,Completed
O000449,C0082,S003,2026-03-06,Completed
O000450,C0088,S003,2025-10-05,Completed
O000451,C0029,S002,2026-05-31,Completed
O000452,C0003,S004,2025-05-15,Completed
O000453,C0040,S002,2025-08-21,Completed
O000454,C0006,S002,2026-03-18,Completed
O000455,C0039,S001,2025-03-09,Completed
O000456,C0086,S003,2025-07-09,Completed
O000457,C0065,S005,2025-09-05,Completed
O000458,C0097,S005,2025-06-25,Completed
O000459,C0090,S005,2026-01-11,Completed
O000460,C0066,S002,2025-08-08,Completed
O000461,C0050,S003,2025-04-29,Completed
O000462,C0002,S004,2025-07-03,Completed
O000463,C0030,S004,2025-05-06,Completed
O000464,C0016,S003,2025-04-21,Completed
O000465,C0049,S005,2025-07-03,Completed
O000466,C0038,S004,2025-07-26,Completed
O000467,C0057,S004,2026-01-21,Completed
O000468,C0098,S001,2026-05-15,Completed
O000469,C0042,S001,2025-10-19,Completed
O000470,C0098,S003,2025-01-28,Completed
O000471,C0069,S003,2025-01-21,Completed
O000472,C0064,S005,2025-12-11,Completed
O000473,C0039,S005,2025-02-18,Completed
O000474,C0068,S004,2026-08-04,Completed
O000475,C0059,S005,2026-06-12,Completed
O000476,C0028,S004,2026-05-27,Completed
O000477,C0053,S003,2025-07-28,Completed
O000478,C0060,S004,2025-11-14,Completed
O000479,C0041,S005,2025-03-27,Completed
O000480,C0093,S002,2026-02-11,Completed
O000481,C0064,S001,2025-09-15,Completed
O000482,C0096,S002,2026-02-04,Completed
O000483,C0063,S005,2025-02-27,Completed
O000484,C0019,S003,2025-10-12,Completed
O000485,C0069,S002,2025-05-05,Completed
O000486,C0036,S001,2025-02-04,Completed
O000487,C0059,S001,2025-12-01,Completed
O000488,C0074,S001,2025-11-18,Completed
O000489,C0023,S005,2025-09-24,Completed
O000490,C0012,S004,2025-08-23,Completed
O000491,C0073,S001,2025-06-24,Completed
O000492,C0037,S002,2025-08-09,Completed
O000493,C0088,S002,2026-02-12,Completed
O000494,C0039,S004,2026-01-26,Completed
O000495,C0017,S001,2026-04-25,Completed
O000496,C0041,S004,2026-06-14,Completed
O000497,C0021,S004,2025-09-24,Completed
O000498,C0085,S005,2026-07-31,Completed
O000499,C0099,S004,2025-09-10,Completed
O000500,C0091,S004,2026-04-17,Completed
O999901,,S001,2026-08-01,Completed
O999902,C9999,S001,2026-08-02,Completed
